epoch,accuracy,loss,val_accuracy,val_loss
0,0.6296296,0.6385670979049854,0.6310502,0.3926998679127012
1,0.863285,0.28253521120682623,1.0,0.018465068849140412
2,0.93752015,0.16980819172329373,1.0,0.0066838280078716904
3,0.9468599,0.14056055103331752,0.9917808,0.01671159665826636
4,0.9595813,0.11793401328405896,1.0,0.003530077613804407
5,0.9592593,0.10159932589953265,1.0,0.001732931716416378
6,0.96280193,0.08892244776795133,0.9917808,0.015371250459741415
7,0.95845413,0.0930890526829588,1.0,0.004106402088868372
8,0.95781,0.09124791430378401,1.0,0.0009172302055438968
9,0.9592593,0.08558745834731141,1.0,0.0025762890289895424
