epoch,accuracy,loss,val_accuracy,val_loss
0,0.652652,0.5977666519129261,0.7316176,0.5286820565952974
1,0.8408797,0.38977156986240274,0.9889706,0.23698428075979738
2,0.83570504,0.3255505365202683,0.83455884,0.3426138031132081
3,0.8518758,0.3374193126834534,0.9632353,0.24935832269051494
4,0.85834414,0.282604606463098,0.9669118,0.2376689704902032
5,0.88486415,0.23710043340882847,0.9669118,0.14109624604530194
6,0.897154,0.23013297810591515,0.9558824,0.2532243304612005
7,0.9049159,0.22338713479998196,0.9632353,0.18935220283182227
8,0.91655886,0.18762852563817936,0.9705882,0.3046649825923583
9,0.91655886,0.19597569805838622,0.8786765,0.3413366027833784
10,0.9133247,0.18360468107161207,0.9485294,0.24645472515155287
11,0.93596375,0.1675786953347158,0.9411765,0.3067059578264461
12,0.94113845,0.17388221047057217,0.875,0.3389936185934964
13,0.9463131,0.15115341734512194,0.875,0.2736928559401456
