epoch,accuracy,loss,val_accuracy,val_loss
0,0.7663492,0.4609833884655483,0.7910663,0.4577406644821167
1,0.9113651,0.24350944732862806,0.80547553,0.46786798020316794
2,0.9268571,0.2189826371102106,0.8378962,0.3673009472814473
3,0.9426032,0.17411299588188292,0.8840058,0.29464882950891147
4,0.952254,0.1542366675412844,0.9056196,0.27629362004385755
5,0.95479363,0.1347181903171161,0.89553314,0.26136229712177406
6,0.9639365,0.11529969203093696,0.92867434,0.20541634690016508
7,0.97003174,0.09513107927995068,0.92939484,0.17902395898470952
8,0.97257143,0.08370287356632096,0.9423631,0.17510847304683094
9,0.9791746,0.07373345866349955,0.9610951,0.09922497769928834
10,0.9771429,0.07080212081897827,0.9589337,0.10458455327038378
11,0.98209524,0.05548479490005781,0.9610951,0.10226789943143641
12,0.984,0.048373137346868,0.96541786,0.08857004708259163
13,0.9866667,0.04045302822809326,0.9639769,0.11058654629707121
14,0.9881905,0.03566447105708843,0.9690202,0.0845181231786584
15,0.9886984,0.03653520939409703,0.96757925,0.08956776762196257
16,0.992,0.029337505595832473,0.9776657,0.07051484448346952
17,0.9927619,0.02407195845444406,0.971902,0.08789195790517258
18,0.9904762,0.025788099053596726,0.9740634,0.09919151505428844
19,0.9913651,0.0241430599327007,0.9769452,0.0646233371800315
20,0.9927619,0.023052537043948496,0.97262245,0.0767441126036896
21,0.9940317,0.01939516744532046,0.9682997,0.09931301060614023
22,0.99390477,0.018185028205670063,0.971902,0.08707512931877757
23,0.9949206,0.015328837036227231,0.9711816,0.08524143270283835
24,0.99390477,0.018135948199571834,0.97550434,0.08766424392642849
25,0.9950476,0.015590159244946248,0.97262245,0.0992176061796072
26,0.99631745,0.010654236313827808,0.9682997,0.1064309404300833
27,0.9953016,0.013087973108396881,0.9517291,0.19667804138536996
