epoch,accuracy,loss,val_accuracy,val_loss
0,0.7097649,0.571638494864726,0.8505155,0.23808054625988007
1,0.823689,0.3766410637505447,0.92783505,0.27178802971656507
2,0.87703437,0.3125849635648469,0.96391755,0.23809369596151206
3,0.8779385,0.24330669510974862,0.91237116,0.18848117684515622
4,0.8896926,0.2339360930335457,0.96391755,0.3022389320226816
5,0.9068716,0.1943472494896683,0.87628865,0.23623351093668205
6,0.925859,0.16113627696419083,0.8402062,0.2778929171797175
7,0.9141049,0.17032614218283304,0.9072165,0.20452656894205853
8,0.92224234,0.14688138323911815,0.96907216,0.16084036331337231
9,0.9466546,0.12967184226737638,0.9536083,0.14160634414292872
10,0.943038,0.11830560604714963,0.87113404,0.2555955041764089
11,0.9520796,0.12492118952004323,0.7989691,0.4102412968014295
12,0.9493671,0.1257537142062058,0.9020619,0.24902826432998365
13,0.9349005,0.13817660226932918,0.82474226,0.30804023655274737
14,0.92766726,0.1308591931958971,0.7989691,0.4910919255433747
15,0.9575045,0.09116768750074113,0.6546392,1.032637756335764
16,0.96202534,0.0960836452356191,0.69072163,0.7636616816386007
17,0.9683544,0.07829612313608081,0.77835053,0.6755336558428378
