epoch,accuracy,loss,val_accuracy,val_loss
0,0.70964694,0.5875153179276936,0.59749556,0.6507042845090231
1,0.84678435,0.3981077674433382,0.7924866,0.512953370809555
2,0.90163934,0.27762847796815343,0.8103757,0.42684843722316956
3,0.91424966,0.2517542511901218,0.88729876,0.3407401790221532
4,0.9265448,0.20691350093029187,0.921288,0.38393305076493156
5,0.9337957,0.1931067136671831,0.9373882,0.22579321658445728
6,0.93726355,0.18398657156457515,0.9391771,0.22107232046417064
7,0.9498739,0.160652778206527,0.9499106,0.21559216206272444
8,0.9555485,0.1379330800693543,0.93559927,0.28426437949140865
9,0.9583859,0.1324641412307689,0.960644,0.15615853741716515
10,0.96153843,0.11750424124328666,0.96779966,0.1335662421511693
11,0.953657,0.13934699388650748,0.980322,0.1077301495388383
12,0.95807064,0.11764324407831943,0.96779966,0.12480312776137402
13,0.9643758,0.10359817071527731,0.96779966,0.1436707186124598
14,0.96847415,0.09630077613886413,0.9588551,0.14758156523667923
15,0.9694199,0.09369452481838073,0.96422184,0.10785737680271268
16,0.97162676,0.09239018572703436,0.96601075,0.1473711971193552
17,0.97509456,0.07879815896571359,0.9767442,0.13936076447296525
18,0.9807692,0.07712333161538892,0.9695886,0.09620825641710933
19,0.98045397,0.06846728450548219,0.9767442,0.08760912984851327
20,0.97730136,0.07350454370997386,0.98568875,0.10278110165715286
21,0.9801387,0.06936776134083318,0.9767442,0.08535714159612932
22,0.9807692,0.0594907770287727,0.9785331,0.07985930434774167
23,0.98045397,0.0658468150489401,0.9821109,0.09391808456631326
24,0.9801387,0.06253098655600114,0.980322,0.07855392235827215
25,0.9823455,0.05800348993808895,0.97495526,0.09779012564063629
26,0.9801387,0.06876507948985391,0.9695886,0.15209283423655506
27,0.98108447,0.064516866179309,0.9821109,0.07000585445186719
28,0.9867591,0.04442537307408509,0.98747766,0.053833361768435374
29,0.9845523,0.05520631424427352,0.9892666,0.06603759134894618
30,0.9851828,0.05016617405871574,0.9821109,0.07072115421235342
31,0.9848676,0.05670303741211898,0.98389983,0.05884417800017319
32,0.981715,0.05621860829307633,0.98568875,0.07809204108521556
33,0.9832913,0.05417287992348737,0.9767442,0.07127711306222612
34,0.9870744,0.04622168154285429,0.98389983,0.057242099777100625
35,0.9839218,0.048856688325861784,0.9821109,0.05891599007607814
36,0.9864439,0.03793044155639741,0.98747766,0.06159910583907428
