epoch,accuracy,loss,val_accuracy,val_loss
0,0.6908743,0.5728993610774322,0.82838523,0.560244042087685
1,0.8459477,0.35259886381728067,0.86241853,0.5403047847476873
2,0.89112955,0.26746652033120566,0.8196959,0.4397078732197935
3,0.9335035,0.1900507924563579,0.88703835,0.29946087537841365
4,0.9531589,0.1436527611422706,0.9398986,0.15154250626536933
5,0.9629866,0.10711483951389371,0.94207096,0.16403429322368043
6,0.9670708,0.0942474833242096,0.9536568,0.1378152527401901
7,0.97447354,0.07772804626181065,0.93917453,0.1693840058710934
8,0.9784301,0.06512126412382914,0.9507603,0.14641635059590705
9,0.9821315,0.05360433882448273,0.94858795,0.15072239164940335
10,0.9832802,0.05291832217206108,0.95438087,0.11883056862279773
11,0.9832802,0.04941449411018456,0.9507603,0.13715906497302718
12,0.9839183,0.04903005825185669,0.94062275,0.185088164919183
13,0.9835354,0.04740594829843946,0.9558291,0.14247213295576247
14,0.9840459,0.04371232342524139,0.9398986,0.20086173474390473
15,0.9855775,0.04492104756767697,0.9442433,0.16097034815307285
16,0.98838544,0.03697274781421217,0.95293266,0.14484845743837385
17,0.9890236,0.03443634470267401,0.9522085,0.14857668957020823
18,0.987492,0.03469241844037287,0.95727736,0.10980865916380109
19,0.99170387,0.03150297975501648,0.95293266,0.12368525632006243
20,0.98915124,0.0357891312058618,0.95800143,0.12451278934035641
21,0.98991704,0.027827544657462386,0.95800143,0.09984004433929593
22,0.98953414,0.03134439342382442,0.9493121,0.15343804299043934
23,0.99119335,0.02910835743009873,0.961622,0.10189208815968827
24,0.99208677,0.02473166840862371,0.9674149,0.09758653114154599
25,0.99068284,0.025708376519125248,0.96234614,0.1163940151124569
26,0.99183154,0.023994019799764746,0.96379435,0.10133733362104894
27,0.99336314,0.020003479987206967,0.9659667,0.09722770681467162
28,0.99208677,0.02614790531274718,0.9688631,0.07466459606334039
29,0.99246967,0.022032179555248877,0.95800143,0.11023965581204141
30,0.99425656,0.018372612557806024,0.9608979,0.10816944622654939
